Chapter,Section,Subsection,Rule,Example,Key Terms,Roles,Action,Related Concept,Learning Objective
Chapter 5 - Performance Measurement,Cash Conversion Cycle,,Shortening the cash conversion cycle frees up cash for other uses.,Implement just-in-time inventory systems to reduce holding time.,"cash conversion cycle, just-in-time, working capital","CFO, Operations Manager",Analyze each step of the cycle and reduce duration,Cash Flow Efficiency,
Chapter 5 - Performance Measurement,Days Sales in Accounts Receivable,,Monitor customer payment trends to assess credit effectiveness.,Track receivable days monthly to spot payment delays.,"accounts receivable, collections, customer credit","Accounts Receivable Analyst, CFO",Calculate and compare AR days to standard terms,Receivables Management,
Chapter 5 - Performance Measurement,Days Sales in Inventory,,Use average inventory to calculate inventory turnover time.,DSI = (Avg Inventory / COGS) × 365,"inventory turnover, DSI, cost of goods sold","Inventory Manager, Controller",Track inventory efficiency across periods,Inventory Optimization,
Chapter 5 - Performance Measurement,Days Payables Outstanding,,Measure how long the business takes to pay suppliers.,DPO = 365 ÷ Payables Turnover,"accounts payable, DPO, trade credit","AP Manager, CFO","Use total purchases, not just COGS, in the formula",Payables Management,
Chapter 5 - Performance Measurement,Free Cash Flow,,Use FCF to assess the true financial health of a business.,FCF = Operating Cash Flow ± WC changes − CapEx − Dividends,"free cash flow, capital expenditures, dividends","Treasurer, CFO",Analyze causes behind positive or negative FCF,Liquidity Assessment,
Chapter 5 - Performance Measurement,Working Capital Productivity,,Compare revenue to working capital to assess capital efficiency.,Ratio = Annual Revenue / Working Capital,"working capital, capital efficiency, ratio analysis","Financial Analyst, CFO",Benchmark against industry to detect excess capital use,Efficiency Metrics,
Chapter 5 - Performance Measurement,Cash Reinvestment Ratio,,Measure how much cash is reinvested into the business.,Ratio = (CapEx + Working Capital Changes) / (Net Income + Non-cash Expenses),"reinvestment, cash flow, capex","Finance Manager, Investor",Evaluate alignment of reinvestment with growth goals,Sustainability Metrics,
Chapter 5 - Performance Measurement,Funds-Flow Adequacy Ratio,,Assess whether projected operations will meet future cash needs.,Ratio = Cash from Operations / (CapEx + WC + Dividends),"budgeting, cash flow adequacy","Budget Officer, CFO",Use historical results to validate forecasted cash sufficiency,Forecasting,
Chapter 5 - Performance Measurement,Contribution Margin Ratio,,Use CM ratio to determine profitability per unit sold.,CM Ratio = (Sales − Variable Costs) / Sales,"contribution margin, variable cost, break-even","CFO, Pricing Analyst",Apply to pricing decisions and loss scenarios,Profitability Metrics,
Chapter 5 - Performance Measurement,Core Earnings Ratio,,Remove non-operational items to assess true profitability.,Adjust Net Income for gains/losses unrelated to core ops.,"core earnings, S&P adjustments, income quality","Equity Analyst, CFO",Use to compare recurring vs. one-time earnings,True Earnings Analysis,
Chapter 6 - Capital Budgeting and Structure,Capital Budgeting Process,,All major projects must be reviewed through the capital budgeting framework.,Use NPV and IRR to evaluate projects before approval.,"NPV, IRR, capital budgeting, project review","CFO, Project Manager",Perform financial feasibility studies before investment,Investment Decision-Making,
Chapter 6 - Capital Budgeting and Structure,Net Present Value (NPV),,Use NPV to evaluate whether a project adds value to the business.,NPV = Present Value of Cash Inflows − Present Value of Cash Outflows,"NPV, discount rate, cash flow",Finance Analyst,Approve projects with positive NPV,Project Viability,
Chapter 6 - Capital Budgeting and Structure,Internal Rate of Return (IRR),,IRR is the discount rate that makes a project’s NPV zero.,Accept projects where IRR exceeds the cost of capital.,"IRR, hurdle rate, investment return",Finance Manager,Use IRR for ranking mutually exclusive projects,Profitability Measurement,
Chapter 6 - Capital Budgeting and Structure,Payback Period,,Payback period measures time to recover investment cost.,Shorter payback reduces risk of loss from project failure.,"payback period, investment recovery",Budget Officer,"Use for risk analysis, not value maximization",Risk Assessment,
Chapter 6 - Capital Budgeting and Structure,Post-Completion Audits,,Review completed projects to assess actual vs. forecasted returns.,Compare actual ROI and costs with forecasts.,"audit, ROI, post-project review",Internal Auditor,Implement corrective actions if needed,Performance Validation,
Chapter 6 - Capital Budgeting and Structure,Cost of Capital,,Determine the cost of each capital source to calculate WACC.,Use WACC in project evaluation and company valuation.,"WACC, equity cost, debt cost","Treasurer, CFO",Update WACC regularly with market data,Capital Cost Benchmarking,
Chapter 6 - Capital Budgeting and Structure,Capital Structure Optimization,,Balance debt and equity to minimize cost of capital and risk.,Avoid excessive leverage to reduce bankruptcy risk.,"capital structure, leverage, equity, debt","CFO, Board",Adjust financing mix as business environment changes,Financial Strategy,
Chapter 6 - Capital Budgeting and Structure,Financing Sources,,Evaluate internal and external financing options.,Use retained earnings before seeking debt/equity.,"retained earnings, equity financing, debt",Finance Director,Match financing source with project type and risk,Funding Strategy,
